epoch,train_loss,validation_loss,train_mean_accuracy,validation_mean_accuracy,train_accuracy__target__theme,validation_accuracy__target__theme,train_accuracy__target__cake,validation_accuracy__target__cake,train_accuracy__target__decor,validation_accuracy__target__decor,train_accuracy__target__layout,validation_accuracy__target__layout
1,1.1807792037,1.1974414648,0.522023809524,0.494444444444,0.3625,0.330555555556,0.52619047619,0.480555555556,0.416666666667,0.4,0.782738095238,0.766666666667
2,0.889641893841,0.909362861635,0.641220238095,0.630555555556,0.566666666667,0.536111111111,0.633333333333,0.627777777778,0.5,0.508333333333,0.864880952381,0.85
3,0.749660630298,0.773556485223,0.697172619048,0.689583333333,0.635119047619,0.647222222222,0.691071428571,0.669444444444,0.567857142857,0.547222222222,0.894642857143,0.894444444444
4,0.675577503755,0.70438510851,0.715625,0.700694444444,0.638095238095,0.65,0.709523809524,0.669444444444,0.594642857143,0.572222222222,0.920238095238,0.911111111111
5,0.624755277934,0.663797786669,0.73630952381,0.717361111111,0.6875,0.691666666667,0.698214285714,0.652777777778,0.624404761905,0.597222222222,0.935119047619,0.927777777778
6,0.592435442392,0.640245859417,0.746577380952,0.726388888889,0.691071428571,0.672222222222,0.708928571429,0.672222222222,0.633333333333,0.619444444444,0.952976190476,0.941666666667
7,0.571914608945,0.638970090792,0.75625,0.736111111111,0.702976190476,0.708333333333,0.735119047619,0.686111111111,0.639880952381,0.619444444444,0.947023809524,0.930555555556
8,0.554227352625,0.616466430769,0.763244047619,0.727777777778,0.701785714286,0.7,0.750595238095,0.683333333333,0.647023809524,0.591666666667,0.953571428571,0.936111111111
9,0.537935655448,0.615829554656,0.771130952381,0.729861111111,0.69880952381,0.686111111111,0.748214285714,0.663888888889,0.665476190476,0.630555555556,0.972023809524,0.938888888889
10,0.523516225479,0.597168242947,0.773660714286,0.727083333333,0.7125,0.697222222222,0.738095238095,0.663888888889,0.670833333333,0.605555555556,0.973214285714,0.941666666667
11,0.516494398451,0.612048015585,0.778720238095,0.734027777778,0.720238095238,0.7,0.76369047619,0.683333333333,0.658333333333,0.613888888889,0.972619047619,0.938888888889
12,0.517262643141,0.608299469558,0.781101190476,0.743055555556,0.72380952381,0.691666666667,0.76369047619,0.688888888889,0.659523809524,0.638888888889,0.977380952381,0.952777777778
13,0.5092785538,0.602034476236,0.783035714286,0.736805555556,0.736904761905,0.697222222222,0.764285714286,0.658333333333,0.655952380952,0.644444444444,0.975,0.947222222222
14,0.501368344678,0.608219981666,0.786904761905,0.728472222222,0.725,0.688888888889,0.773214285714,0.658333333333,0.675595238095,0.622222222222,0.97380952381,0.944444444444
15,0.488432163471,0.588422582716,0.794345238095,0.746527777778,0.749404761905,0.713888888889,0.772023809524,0.7,0.680357142857,0.627777777778,0.975595238095,0.944444444444
16,0.494409146556,0.604732203353,0.790476190476,0.741666666667,0.727976190476,0.708333333333,0.77380952381,0.672222222222,0.681547619048,0.641666666667,0.978571428571,0.944444444444
17,0.488097563763,0.602689296174,0.793303571429,0.742361111111,0.745238095238,0.708333333333,0.756547619048,0.686111111111,0.689285714286,0.625,0.982142857143,0.95
18,0.475515916252,0.594438048993,0.802380952381,0.74375,0.757738095238,0.727777777778,0.772619047619,0.686111111111,0.697619047619,0.613888888889,0.981547619048,0.947222222222
19,0.470290523542,0.595519080182,0.797619047619,0.7375,0.75119047619,0.711111111111,0.770238095238,0.666666666667,0.691666666667,0.619444444444,0.977380952381,0.952777777778
20,0.462885165952,0.586858180439,0.802083333333,0.743055555556,0.757738095238,0.722222222222,0.776785714286,0.677777777778,0.695238095238,0.625,0.978571428571,0.947222222222
21,0.470248872093,0.607899790114,0.801785714286,0.7375,0.7625,0.702777777778,0.775595238095,0.680555555556,0.698214285714,0.633333333333,0.970833333333,0.933333333333
22,0.452618376829,0.5925541071,0.805357142857,0.742361111111,0.766071428571,0.702777777778,0.778571428571,0.675,0.691071428571,0.633333333333,0.985714285714,0.958333333333
23,0.460864119598,0.602518627684,0.805208333333,0.734722222222,0.767261904762,0.694444444444,0.786904761905,0.675,0.680952380952,0.613888888889,0.985714285714,0.955555555556
24,0.449314294314,0.60166214396,0.814732142857,0.7375,0.774404761905,0.708333333333,0.798214285714,0.686111111111,0.700595238095,0.605555555556,0.985714285714,0.95
25,0.442846886124,0.60655375423,0.81443452381,0.735416666667,0.77619047619,0.702777777778,0.795833333333,0.683333333333,0.698214285714,0.594444444444,0.9875,0.961111111111
26,0.456377477404,0.607281602616,0.806101190476,0.7375,0.7625,0.672222222222,0.786904761905,0.672222222222,0.68630952381,0.65,0.98869047619,0.955555555556
27,0.449630662916,0.628743365456,0.809970238095,0.728472222222,0.759523809524,0.688888888889,0.796428571429,0.677777777778,0.697619047619,0.594444444444,0.98630952381,0.952777777778
28,0.436764750189,0.611675290315,0.813988095238,0.734027777778,0.780952380952,0.697222222222,0.795238095238,0.669444444444,0.693452380952,0.611111111111,0.98630952381,0.958333333333
29,0.439271411927,0.607626434165,0.816220238095,0.739583333333,0.780952380952,0.716666666667,0.781547619048,0.658333333333,0.716071428571,0.625,0.98630952381,0.958333333333
30,0.43055786583,0.608490110064,0.818898809524,0.738194444444,0.776785714286,0.7,0.795833333333,0.672222222222,0.716071428571,0.625,0.986904761905,0.955555555556
31,0.433562526928,0.60980412813,0.817857142857,0.748611111111,0.780952380952,0.722222222222,0.809523809524,0.686111111111,0.692261904762,0.636111111111,0.98869047619,0.95
32,0.438234765019,0.637805536054,0.818898809524,0.732638888889,0.769642857143,0.7,0.814880952381,0.666666666667,0.700595238095,0.616666666667,0.990476190476,0.947222222222
33,0.420849093983,0.613714106386,0.821577380952,0.740277777778,0.78630952381,0.713888888889,0.792857142857,0.666666666667,0.719642857143,0.625,0.9875,0.955555555556
