source_id,asset_type,title,provider,source_url,license,license_verified,redistribution_allowed,ai_generated,preferred_format,known_scale_or_extent,triangle_or_object_count,primary_bakesmart_use,event_tags,collection_status,download_method,notes
ph-symmetrical-garden,hdri,Symmetrical Garden,Poly Haven,https://polyhaven.com/a/symmetrical_garden,CC0-1.0,true,true,false,hdr,16K source,24 EVs,formal garden daytime lighting and outdoor scale review,wedding;engagement;birthday;graduation,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; create a 1K or 2K runtime derivative.
ph-lythwood-terrace,hdri,Lythwood Terrace,Poly Haven,https://polyhaven.com/a/lythwood_terrace,CC0-1.0,true,true,false,hdr,16K source,10 EVs,soft overcast terrace and lawn lighting,wedding;birthday;baby_shower;corporate,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; low contrast is useful for readable outdoor previews.
ph-evening-museum-courtyard,hdri,Evening Museum Courtyard,Poly Haven,https://polyhaven.com/a/evening_museum_courtyard,CC0-1.0,true,true,false,hdr,29K source,12 EVs,evening courtyard and restaurant event lighting,wedding;engagement;corporate;anniversary,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; optimize to a 1K or 2K mixed-light runtime derivative.
ph-floral-tent,hdri,Floral Tent,Poly Haven,https://polyhaven.com/a/floral_tent,CC0-1.0,true,true,false,hdr,16K source,21 EVs,garden canopy and semi-outdoor event lighting,wedding;south_asian_mehndi;birthday;baby_shower,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; especially relevant to tent and garden celebrations.
ph-belfast-sunset-puresky,hdri,Belfast Sunset Pure Sky,Poly Haven,https://polyhaven.com/a/belfast_sunset_puresky,CC0-1.0,true,true,false,hdr,24K source,12 EVs,clean sunset environment lighting without location geometry,wedding;engagement;anniversary;outdoor,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; use as lighting only and do not claim it depicts the customer venue.
ph-rosendal-park-sunset,hdri,Rosendal Park Sunset,Poly Haven,https://polyhaven.com/a/rosendal_park_sunset,CC0-1.0,true,true,false,hdr,20K source,12 EVs,warm park and lawn sunset lighting,wedding;south_asian_mehndi;birthday;graduation,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; useful for outdoor golden-hour QA.
ph-crepe-satin,pbr_material,Crepe Satin,Poly Haven,https://polyhaven.com/a/crepe_satin,CC0-1.0,true,true,false,pbr_maps,0.3m physical height,8K source,luxury satin drape table runner and cushion material,wedding;south_asian_mehndi;engagement;anniversary,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; author 1K and 2K derivatives and preserve anisotropy maps where supported.
ph-crepe-georgette,pbr_material,Crepe Georgette,Poly Haven,https://polyhaven.com/a/crepe_georgette,CC0-1.0,true,true,false,pbr_maps,0.3m physical height,8K source,sheer lightweight drape and swag material,wedding;birthday;baby_shower;engagement,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; transparency and double-sided behavior require renderer QA.
ph-rough-linen,pbr_material,Rough Linen,Poly Haven,https://polyhaven.com/a/rough_linen,CC0-1.0,true,true,false,pbr_maps,0.3m physical height,8K source,rustic table runner backdrop textile and cushion material,rustic_birthday;wedding;corporate,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; create recolorable mobile derivatives without changing the weave scale.
ph-cotton-jersey,pbr_material,Cotton Jersey,Poly Haven,https://polyhaven.com/a/cotton_jersey,CC0-1.0,true,true,false,pbr_maps,0.3m physical height,8K source,soft matte tablecloth cushion and fabric panel material,birthday;baby_shower;kids_birthday;corporate,approved_source,polyhaven_api,Verified on the official asset page 2026-09-01; use for soft secondary textiles rather than premium hero drapes.
kenney-food-kit,model_pack,Food Kit,Kenney,https://kenney.nl/assets/food-kit,CC0-1.0,true,true,false,multi_format,200 files,200 files,cake dessert cupcake and serving-prop geometry reference,birthday;kids_birthday;wedding;baby_shower;corporate,approved_source,manual_download,Official page verified 2026-09-01; suitable for LOD and blocking components but stylized items require individual visual review and are not automatic hero assets.
ph-strawberry-chocolate-cake,model,Strawberry Chocolate Cake,Poly Haven,https://polyhaven.com/a/strawberry_chocolate_cake,CC0-1.0,true,true,false,gltf,0.2m wide,27K tris,realistic cake material silhouette and topping reference,birthday;wedding;anniversary;engagement,approved_source,polyhaven_api,Official page verified 2026-09-01; fixed rustic design is a hero-quality reference rather than a replacement for the parametric cake system and requires a mobile LOD.
ph-carrot-cake,model,Carrot Cake,Poly Haven,https://polyhaven.com/a/carrot_cake,CC0-1.0,true,true,false,gltf,0.2m wide,14K tris,realistic frosting crumb and cake proportion reference,birthday;corporate;anniversary,approved_source,polyhaven_api,Official page verified 2026-09-01; useful one-tier reference after optimization but not a configurable celebration cake.
